country,CRI_equal_weights_0_to_100,CRI_economic_focus_0_to_100,CRI_governance_focus_0_to_100,CRI_sovereign_focus_0_to_100,CRI_trade_focus_0_to_100,CRI_pca_weights_0_to_100
Svalbard & Jan Mayen,45.09516841015507,45.187321366064786,48.21661980387966,46.08863514610258,39.413112131468786,53.362261612812766
"Micronesia, Fed. Sts.",48.7173781992137,48.80345159291875,46.0938279425955,48.66694996794247,49.99834994472746,45.648358856863034
Iceland,23.429650602154357,23.558167234074162,18.074612357831338,20.545641554607837,31.307294707008808,9.960744241922072
Brunei,48.67074287637795,48.75689454339202,50.8920282890003,48.633754611767394,44.93693890400519,51.99284262748311
British Virgin Islands,40.92070065468968,41.019860089480694,45.093091945814216,43.11721915586355,32.96406821794949,51.76563333724773
British Indian Ocean Territory,42.740028383432424,42.83613423581335,46.45439623095065,44.41222963895896,35.77470782592922,52.782363735492574
Micronesia,42.36144232949019,42.458183605438165,46.17112081587158,44.14274937937554,35.189838513255076,53.02304635550526
Taiwan,16.535386839155365,16.675474889585796,15.074762216238236,15.956036217741381,18.083094581960957,14.953600169051926
Brazil,59.313420350193624,59.44998295610755,60.76947165204656,61.08491852627732,54.05882080841257,65.09629939746812
Mexico,64.88409735441473,65.81652063290478,66.33223061422538,60.45165818226784,65.59241316514111,58.99244326723338
Armenia,75.23776827162082,75.2793295109984,72.15211571815404,74.4059998296014,77.10754286631918,70.3652409757666
India,52.08521609990366,51.9622011155006,53.00545832393768,51.77451585835331,50.05417841639967,54.03322090667988
Tajikistan,52.43984265373211,52.51966821654833,63.35166459715176,51.31662677734432,40.808640585230464,66.60981655452105
Bouvet Island,40.93035175264569,41.02949498891323,45.10031333907737,43.124088876381165,32.978977988051454,52.259840245871516
Syria,89.3608199853717,89.37867691814819,99.88979348473163,77.59724237794465,88.6467271090478,82.29981693455782
Suriname,77.92459271689759,77.96164435652824,74.46432497194583,84.16718387314589,72.42956060003868,87.3267791354179
Mongolia,72.82484792825822,72.87045904331299,68.79263922635049,74.42069917704495,73.10435531802858,70.82305744491794
Burundi,83.04200139665522,83.07046391356604,87.39677526534248,73.09946213533775,86.9009794679589,70.5143577299159
Sri Lanka,65.67462460567124,65.73223674496215,66.15740501789,74.91324142210134,53.1978511594337,87.02044881353638
St Helena,41.11773984956986,41.21656857131227,45.24052569075888,43.25747306334773,33.2684697596318,51.779472388223326
St. Kitts & Nevis,64.09383793804732,64.15410328944844,62.43229399584253,59.612023931304115,68.7637410645598,52.25828041220101
Mozambique,93.75182570472406,93.7623127185929,92.24900148986612,92.22306060327742,94.23005968313535,89.77381755149035
Cape Verde Islands,49.83725832782236,49.921452100715776,51.76486854622351,49.46408864914131,46.73906310590242,51.837540205622076
Canada,28.096104496660136,28.4362154407366,22.041817255543368,34.50180306458886,26.315292408949574,33.9773413361507
Liechtenstein,47.21886215967485,47.30745068143918,34.49553832715391,47.60029553859979,58.4991140693124,30.333492709260007
Kosovo,56.14121305697747,56.21482619342431,57.20353406575002,53.95128869025557,55.73280997759653,54.12106597289782
St. Kitts and Nevis,47.10127682676236,47.190062705219816,43.675345896973965,47.51659745805375,48.750010116734764,43.804101882529615
Guyana,71.02024336907505,71.06888335498802,69.40631597725427,64.54228883170691,77.61490397533308,56.79423008453553
Cameroon,75.2412102490392,75.28276571135885,80.25826954672547,67.54680323117113,76.19338955568864,68.056760096386
Antigua and Barbuda,47.447259404338716,47.535464581311565,44.193105900294235,47.762870330088404,49.01726057437471,44.19897928383422
Morocco,64.60830657203384,64.66770843284641,64.4167667482585,61.990211326187946,65.72392434980256,58.75935392818447
St. Lucia,38.13823523553162,38.24206479507609,37.24527367277149,41.13664037957553,34.617777759729734,44.930436352363905
St. Maarten,64.09383793804732,64.15410328944844,62.43229399584253,59.612023931304115,68.7637410645598,52.25828041220101
St. Pierre Et Miquelon,46.04109847759425,46.131663772650185,48.924407979644016,46.761954930249125,40.874458799207844,53.73868771202537
St. Vincent & The Grenadines,58.97850783916555,59.047358824570395,58.604769865098206,55.97089539910546,60.861179499281214,52.16246096189769
Haiti,81.18758935072523,81.21916433600283,89.04785118250797,71.77947838446221,80.89925784313787,74.99691722630283
Cambodia,76.24472683569836,76.28459798323027,76.96244490083782,74.12704335791886,75.55565422736996,74.75661275093918
Heard and McDonald Islands,67.68022241881249,67.73446833765439,65.11579102866479,62.16483804259737,74.3042679920795,53.68545644438466
Uzbekistan,48.53637161293547,48.62274881035837,56.31470319797043,48.538108185873,39.027549947314895,60.96727290541074
St. Vincent and the Grenadines,47.79547410130405,47.88309483037519,44.71420625141566,48.01073204066083,49.2862352082214,44.59625371344495
Montserrat,44.089460556569435,44.18330150511671,47.464103152232965,45.37276510644524,37.859416069628715,53.71069883952945
Montenegro,71.94084017415065,71.98793501887418,66.12495604961514,70.3030326135998,77.59533557391934,61.209800903469635
Cabo Verde,48.51078304536913,48.59720319096381,45.78466004087681,48.51989406055503,49.83876777790877,45.412521737252334
Sudan,85.10185651435017,85.12686174467352,95.01464334690782,74.56568173334061,83.81013790611169,79.31027787637704
Honduras,58.58809502709603,58.65760128624665,64.34674080784637,60.272985601441384,49.05872767816531,72.64546876700591
Botswana,38.95924860280581,39.06170016324811,37.984160337815624,38.80333314897773,38.923790530566656,38.76957103834992
Mayotte,59.64402104827445,59.71175502798708,59.10273731156862,56.444612458884514,61.88931629706851,52.04469360481956
Mauritius,34.53762259669546,34.6474954695176,32.54552948104956,39.16762342423545,30.481203316949262,43.119226728778074
Tanzania,43.68328237236144,43.77780505545223,50.54014322120823,45.08364457129156,33.742673654286634,56.906776885281765
Maldives,68.56991398324269,68.6226666326375,66.4472069357323,62.79812685827153,74.99150050944485,54.70092015964661
Barbados,67.20284750515313,67.25789465601956,57.67152195049178,68.47015437767035,73.67185827927123,57.0132713834504
Australia,0.0,0.0,0.0,0.0,0.0,0.0
Macau,33.92159906453963,34.03250587896133,31.434602219150527,38.135208609716514,30.845044184281107,38.99255513217011
Kazakhstan,45.137019372392395,45.22910208512375,50.581962474974794,44.50838824961305,38.81545202299363,53.17698211724338
Turkiye,67.25516145485578,67.31012080133485,64.79774095855544,70.45987385533799,64.31765785151597,71.2875175796381
Italy,33.486037352348205,35.452298301577336,32.998736140920386,35.168556251307336,29.66891779734914,37.558385593725276
Bangladesh,83.45724492905168,83.48501049602521,83.57117338653013,81.09508259919846,83.45658770449266,80.1830293112471
Turkmenistan,61.632826852192636,61.69722279537451,72.96508589671052,57.860258647432886,52.187445503651375,72.23620509023661
Turks & Caicos,64.09383793804732,64.15410328944844,62.43229399584253,59.612023931304115,68.7637410645598,52.25828041220101
Malaysia,48.54526896003734,48.6316312240416,45.89962050014929,44.3517231311134,54.349860117674645,36.447052692948034
United Arab Emirates,44.76198476063666,44.854696936150084,41.44194609214302,35.16516325701184,57.23131342259931,21.351830672358926
Bahrain,73.54003157206515,73.58444231394898,67.84454171225114,74.14841213149496,76.58833165111659,68.0496422351182
Jamaica,56.01271013827206,56.08653895562454,53.7635298343495,60.18893625030286,52.11802639223792,61.34105941038738
Tuvalu,52.396834175628726,52.47673192441242,48.284675297933745,51.28601303517686,56.26313173725853,45.680687325082104
US Minor Outlying Islands,67.68022241881249,67.73446833765439,65.11579102866479,62.16483804259737,74.3042679920795,53.68545644438466
US Virgin Islands,49.5502959298835,49.634971344053994,51.55015014457679,49.2598267628885,46.295741175001496,53.76698735506606
Bahamas,59.85967642070804,59.92704844174687,54.618578239420614,57.32895870817822,66.22511067163211,47.74714362550564
