date,rows
2015-03-01,201
2015-04-01,201
2015-05-01,201
2015-06-01,201
2015-07-01,201
2015-08-01,201
2015-09-01,201
2015-10-01,201
2015-11-01,201
2015-12-01,201
2016-01-01,201
2016-01-02,197
2016-01-03,197
2016-01-04,197
2016-01-05,197
2016-01-06,197
2016-01-07,197
2016-01-08,197
2016-01-09,197
2016-01-10,197
2016-01-11,197
2016-01-12,197
2016-02-01,201
2016-03-01,201
2016-04-01,201
2016-05-01,201
2016-06-01,201
2016-07-01,201
2016-08-01,201
2016-09-01,201
2016-10-01,201
2016-11-01,201
2016-12-01,201
2017-01-01,201
2017-01-02,197
2017-01-03,197
2017-01-04,197
2017-01-05,197
2017-01-06,197
2017-01-07,197
2017-01-08,197
2017-01-09,197
2017-01-10,197
2017-01-11,197
2017-01-12,197
2017-02-01,201
2017-03-01,201
2017-04-01,201
2017-05-01,201
2017-06-01,201
2017-07-01,201
2017-08-01,201
2017-09-01,201
2017-10-01,201
2017-11-01,201
2017-12-01,201
2018-01-01,201
2018-01-02,197
2018-01-03,197
2018-01-04,197
2018-01-05,197
2018-01-06,197
2018-01-07,197
2018-01-08,197
2018-01-09,197
2018-01-10,197
2018-01-11,197
2018-01-12,197
2018-02-01,201
2018-03-01,201
2018-04-01,201
2018-05-01,201
2018-06-01,201
2018-07-01,201
2018-08-01,201
2018-09-01,201
2018-10-01,201
2018-11-01,201
2018-12-01,201
2019-01-01,201
2019-01-02,197
2019-01-03,197
2019-01-04,197
2019-01-05,197
2019-01-06,197
2019-01-07,197
2019-01-08,197
2019-01-09,197
2019-01-10,197
2019-01-11,197
2019-01-12,197
2019-02-01,201
2019-03-01,201
2019-04-01,201
2019-05-01,201
2019-06-01,201
2019-07-01,201
2019-08-01,201
2019-09-01,201
2019-10-01,201
2019-11-01,201
2019-12-01,201
2020-01-01,201
2020-01-02,197
2020-01-03,197
2020-01-04,197
2020-01-05,197
2020-01-06,197
2020-01-07,197
2020-01-08,197
2020-01-09,197
2020-01-10,197
2020-01-11,197
2020-01-12,197
2020-02-01,201
2020-03-01,201
2020-04-01,201
2020-05-01,201
2020-06-01,201
2020-07-01,201
2020-08-01,201
2020-09-01,201
2020-10-01,201
2020-11-01,201
2020-12-01,201
2021-01-01,201
2021-01-02,197
2021-01-03,197
2021-01-04,197
2021-01-05,197
2021-01-06,197
2021-01-07,197
2021-01-08,197
2021-01-09,197
2021-01-10,197
2021-01-11,197
2021-01-12,197
2021-02-01,201
2021-03-01,201
2021-04-01,201
2021-05-01,201
2021-06-01,201
2021-07-01,201
2021-08-01,201
2021-09-01,201
2021-10-01,201
2021-11-01,201
2021-12-01,201
2022-01-01,201
2022-01-02,197
2022-01-03,197
2022-01-04,197
2022-01-05,197
2022-01-06,197
2022-01-07,197
2022-01-08,197
2022-01-09,197
2022-01-10,197
2022-01-11,197
2022-01-12,197
2022-02-01,201
2022-03-01,201
2022-04-01,201
2022-05-01,201
2022-06-01,201
2022-07-01,201
2022-08-01,201
2022-09-01,201
2022-10-01,201
2022-11-01,201
2022-12-01,201
2023-01-01,256
2023-01-02,197
2023-01-03,197
2023-01-04,197
2023-01-05,197
2023-01-06,197
2023-01-07,197
2023-01-08,197
2023-01-09,197
2023-01-10,197
2023-01-11,197
2023-01-12,197
2023-02-01,256
2023-03-01,256
2023-04-01,256
2023-05-01,256
2023-06-01,256
2023-07-01,256
2023-08-01,256
2023-09-01,256
2023-10-01,256
2023-11-01,256
2023-12-01,256
2024-01-01,256
2024-01-02,197
2024-01-03,197
2024-01-04,197
2024-01-05,197
2024-01-06,197
2024-01-07,197
2024-01-08,197
2024-01-09,197
2024-01-10,197
2024-01-11,197
2024-01-12,197
2024-02-01,256
2024-03-01,256
2024-04-01,256
2024-05-01,256
2024-06-01,256
2024-07-01,256
2024-08-01,256
2024-09-01,256
2024-10-01,256
2024-11-01,256
2024-12-01,256
2025-01-01,256
