date,country,economic_risk_pillar_score,trailing_12m_avg
2020-01-01,CHE,-0.5016412667125951,-0.3033782226377582
2021-01-01,CHE,-0.6152903248187032,-0.3230047234741282
2022-01-01,CHE,-0.24064506424092766,-0.3081275344120951
2023-01-01,CHE,0.6606602117124009,-0.2358081167563357
2024-01-01,CHE,0.7248457913611397,-0.1408188960680977
2025-01-01,CHE,-1.011076793775926,-0.16500795830485704
2006-01-01,CHL,-1.3289447113058828,-1.3289447113058828
2007-01-01,CHL,-0.9208167490255648,-1.1248807301657238
2008-01-01,CHL,-1.4663831780634924,-1.23871487946498
2009-01-01,CHL,-0.6695495323381748,-1.0964235426832787
2010-01-01,CHL,-2.931869017826296,-1.4635126377118821
2011-01-01,CHL,-2.656396921137741,-1.6623266849495255
2012-01-01,CHL,-3.0064538223584507,-1.8543448474365147
2013-01-01,CHL,-3.3334702879563864,-2.0392355275014986
2014-01-01,CHL,-2.696100929544827,-2.1122205721729794
2015-01-01,CHL,1.5180788656813282,-1.7491906283875487
2016-01-01,CHL,2.8700707331593573,-1.32925777733783
2017-01-01,CHL,2.5922916625009766,-1.0024619906845962
2018-01-01,CHL,0.5496940893846287,-0.8459087572937202
2019-01-01,CHL,1.528793868539585,-0.6417745391632911
2020-01-01,CHL,2.254230575223856,-0.331723393056012
2021-01-01,CHL,1.562374782120041,-0.14572970018449402
2022-01-01,CHL,0.7092270878361866,0.1576949752873795
2023-01-01,CHL,0.9119692830910315,0.45505882563977723
2024-01-01,CHL,1.117119530209291,0.7986899383537557
2025-01-01,CHL,-0.6826154405251444,1.0195945089730258
2006-01-01,CHN,0.061199458419368184,0.061199458419368184
2007-01-01,CHN,-0.16940630388220645,-0.05410342273141913
2008-01-01,CHN,-0.35544853401047755,-0.15455179315777193
2009-01-01,CHN,-1.2055250720590396,-0.41729511288308885
2010-01-01,CHN,-0.41477315693746253,-0.4167907216939636
2011-01-01,CHN,0.3301693123413483,-0.2922973826880783
2012-01-01,CHN,-0.15212673036603172,-0.27227300378492875
2013-01-01,CHN,-0.16721349866161248,-0.2591405656445142
2014-01-01,CHN,-0.32108087361311355,-0.2660228220854697
2015-01-01,CHN,1.5848158098148502,-0.08093895889543772
2016-01-01,CHN,0.8946018988767483,0.0077465736293064694
2017-01-01,CHN,0.24644916953998947,0.027638456621863386
2018-01-01,CHN,-0.06884537466080776,0.01680138719851539
2019-01-01,CHN,-0.47601289273617053,-0.008749161872648284
2020-01-01,CHN,-1.9558039195867147,-0.14211211067066806
2021-01-01,CHN,-2.7614792193563655,-0.27177495627877857
2022-01-01,CHN,-1.2592303927439703,-0.34214639259598756
2023-01-01,CHN,1.1394126465733745,-0.27470944807665204
2024-01-01,CHN,1.8070658194683664,-0.11144340225711885
2025-01-01,CHN,-0.27251193222611314,-0.12021827172082723
2006-01-01,COL,-1.7412950834642125,-1.7412950834642125
2007-01-01,COL,-1.7701274919914074,-1.7557112877278098
2008-01-01,COL,-1.7138408293339606,-1.7417544682631936
2009-01-01,COL,0.0060311399645037655,-1.304808066206269
2010-01-01,COL,-0.5516633539553667,-1.1541791237560886
2011-01-01,COL,-1.73199479431877,-1.2504817355165356
2012-01-01,COL,-1.7117038978231336,-1.3163706158460495
2013-01-01,COL,-1.234463575866369,-1.3061322358485894
2014-01-01,COL,-0.46368355316427684,-1.2125268266614435
2015-01-01,COL,0.609765014284402,-1.030297642566859
2016-01-01,COL,1.7519200090240175,-0.7773687651495067
2017-01-01,COL,3.5321622672192943,-0.41824117911877323
2018-01-01,COL,2.8687760979010726,-0.03406858067166615
2019-01-01,COL,1.6752759795364118,0.25304837528898544
2020-01-01,COL,3.059396447761056,0.6508181483802368
2021-01-01,COL,2.9977210391258806,0.9001256399770182
2022-01-01,COL,2.0328109196596835,1.115498496111606
2023-01-01,COL,0.8957394388303279,1.3344763488740305
2024-01-01,COL,1.019029408912663,1.5620374577686806
2025-01-01,COL,-0.4391294783385512,1.6283152992293317
2006-01-01,CZE,-0.7017486643642814,-0.7017486643642814
2007-01-01,CZE,-0.6654429902568354,-0.6835958273105585
2008-01-01,CZE,-0.18861217529915006,-0.5186012766400889
2009-01-01,CZE,-0.08891618675638081,-0.4111800041691619
2010-01-01,CZE,-0.39017698205208523,-0.4069793997457466
2011-01-01,CZE,-0.16349746707491125,-0.3663990776339407
2012-01-01,CZE,0.42061702173320215,-0.25396820629577743
2013-01-01,CZE,0.25616895793075817,-0.1902010607674605
2014-01-01,CZE,-0.08205084058104738,-0.1781843696356368
2015-01-01,CZE,-1.210013477176819,-0.281367280389755
2016-01-01,CZE,-0.9675236528095895,-0.34374513242792176
2017-01-01,CZE,-1.0782665037362373,-0.40495524670361477
2018-01-01,CZE,-1.355571735982337,-0.45944050267178604
2019-01-01,CZE,-1.247461757858028,-0.5079420666385521
2020-01-01,CZE,-1.6986871938973362,-0.6337816515217343
2021-01-01,CZE,-1.2294999571440073,-0.7288302990540365
2022-01-01,CZE,-0.12678316769586442,-0.7068808145243515
2023-01-01,CZE,0.059123975913360216,-0.6883290276086621
2024-01-01,CZE,-0.19845053496278972,-0.7399179906666614
2025-01-01,CZE,0.10343480936641308,-0.7526458363803568
2006-01-01,DEU,1.2393906331929094,1.2393906331929094
2007-01-01,DEU,0.8935436896175261,1.0664671614052177
2008-01-01,DEU,0.481125327725627,0.8713532168453542
2009-01-01,DEU,-0.21513213992083685,0.5997318776538064
2010-01-01,DEU,-1.1495873602757638,0.24986803006789238
2011-01-01,DEU,-1.6932521800725824,-0.07398533828885341
2012-01-01,DEU,-0.7172205868821682,-0.1658760880878984
2013-01-01,DEU,-1.174058104741517,-0.2918988401696007
2014-01-01,DEU,-0.08583425472198321,-0.2690027751198654
2015-01-01,DEU,-1.178388325076663,-0.3599413301155452
2016-01-01,DEU,-0.24380982657522643,-0.34938392070278895
2017-01-01,DEU,-0.8065486925936823,-0.38748098502703004
2018-01-01,DEU,-1.0100061476409958,-0.5749307167631889
2019-01-01,DEU,-0.46519843696165014,-0.6881592273114535
2020-01-01,DEU,-0.34701789459676274,-0.757171162504986
2021-01-01,DEU,-0.6616750588703246,-0.7943830724174433
2022-01-01,DEU,-1.1219312767057037,-0.7920783987866048
2023-01-01,DEU,-1.173217414772246,-0.7487421683449101
2024-01-01,DEU,-0.34129254724597546,-0.7174148317085609
2025-01-01,DEU,0.7179317395779575,-0.5597490113486047
2006-01-01,DNK,0.42010013061545687,0.42010013061545687
2007-01-01,DNK,0.8368342277887877,0.6284671792021223
2008-01-01,DNK,0.1675003198185823,0.47481155940760894
2009-01-01,DNK,-1.2640628700121173,0.04009295205267738
2010-01-01,DNK,-0.6309506279500573,-0.09411576394786955
2011-01-01,DNK,-0.40025918250642323,-0.14513966704096185
2012-01-01,DNK,-0.5884486518996862,-0.2084695220207796
2013-01-01,DNK,-0.888683950258054,-0.2934963255504389
2014-01-01,DNK,-0.5428658907361655,-0.3212040550155197
2015-01-01,DNK,-0.41007858801446434,-0.3300915083154141
2016-01-01,DNK,-0.5190904095180283,-0.34727322660656085
2017-01-01,DNK,-0.45842842999674926,-0.3565361602224099
2018-01-01,DNK,-0.4730603583057624,-0.4309662009658448
2019-01-01,DNK,-0.55662131586665,-0.5470874962704646
2020-01-01,DNK,-1.0096029970269733,-0.6451794393409276
2021-01-01,DNK,-1.106521837923015,-0.6320510200001691
2022-01-01,DNK,-0.1383463164040275,-0.5910006607046666
2023-01-01,DNK,0.8141780388552654,-0.48979755892452587
2024-01-01,DNK,0.2163879700048052,-0.42272784043248485
2025-01-01,DNK,-0.9090027086691652,-0.4244210703000775
2006-01-01,ESP,1.6153000828071191,1.6153000828071191
2007-01-01,ESP,1.785326588930065,1.700313335868592
2008-01-01,ESP,1.358619274339232,1.5864153153588054
2009-01-01,ESP,2.0014706750919777,1.6901791552920984
2010-01-01,ESP,2.8139665292156244,1.9149366300768036
2011-01-01,ESP,3.271320495224187,2.1410006076013675
2012-01-01,ESP,4.123218249524085,2.4241745564474706
2013-01-01,ESP,4.0626835578217735,2.628988181619258
2014-01-01,ESP,2.498008013244703,2.614434829577641
2015-01-01,ESP,-2.8462145746425667,2.06836988915562
2016-01-01,ESP,-2.5067560426009075,1.6524493499050266
2017-01-01,ESP,-1.0516834932031771,1.4271049463126764
2018-01-01,ESP,0.04449180973318783,1.2962042568898486
2019-01-01,ESP,0.33491957453436305,1.175337005690207
2020-01-01,ESP,2.2731947093948213,1.2515516252781727
2021-01-01,ESP,2.1256382939550926,1.261898926850099
2022-01-01,ESP,0.5891328290340767,1.0764961185016366
2023-01-01,ESP,-0.22700540989435924,0.7849689597417578
2024-01-01,ESP,0.01801984407599779,0.4428690926210838
2025-01-01,ESP,0.6629762730473457,0.15956015222321482
2006-01-01,EST,-4.149889927838168,-4.149889927838168
2007-01-01,EST,-2.9548368846536346,-3.5523634062459015
2008-01-01,EST,-2.1464846454769853,-3.0837371526562625
2009-01-01,EST,3.13321318478297,-1.5294995682964545
