country,overall_risk_score,risk_score_0_to_100,ewm6,ewm6_score_0_to_100
Gabon,0.7535859781952999,83.61181243889448,0.7970710038255954,83.6706273923993
Gambia,0.7535859781952999,83.61181243889448,0.7970710038255954,83.6706273923993
Georgia,1.022383022300979,93.67014718259257,0.85814297658618,85.95517441073744
Germany,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Ghana,1.1200399406725987,97.32445066754298,1.1618254900324132,97.31516409593694
Gibraltar,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Greece,-0.399377627552081,40.46813155321873,-0.35684222209644756,40.50567134888799
Greenland,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Grenada,0.6820851015343833,80.93626310643745,0.7252982524296298,80.98579148833625
Guadeloupe,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Guam,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Guatemala,-0.33008118272449566,43.06119146183153,-0.4641098315919509,36.49306316938979
Guyana,0.24796307195982428,64.69149855702598,-0.238455984451543,44.93419910063093
Haiti,1.1915408173335151,100.0,1.2335982414283788,100.0
Honduras,0.5368789163792191,75.5026750176792,0.40305391438662536,68.93145120136877
Hong Kong,-0.5445838127072452,35.03454346446047,-0.6794280857798475,28.438555457200653
Hungary,-0.037332528741444417,54.015790934178796,-0.3498269320321724,40.768095490023
Iceland,-0.5430872868163116,35.09054318132382,-0.6764191642326736,28.5511115518917
India,-0.6228298367075469,32.10659198948425,-0.5783927311517295,32.21803084875659
Indonesia,-0.6228298367075469,32.10659198948425,-0.5783927311517295,32.21803084875659
Iraq,1.1915408173335151,100.0,1.2335982414283788,100.0
Ireland,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Israel,-0.3300811827244956,43.06119146183153,-0.4664340655278368,36.40611949509645
Italy,-0.8283828875175804,24.414835558476614,-0.787820256112636,24.383880319789846
Jamaica,0.10042060313193718,59.17048717343698,-0.030494545968316945,52.71350706696521
Japan,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Jordan,0.6820851015343833,80.93626310643745,0.7252982524296298,80.98579148833625
Kazakhstan,0.6820851015343833,80.93626310643745,0.7272809607251204,81.05995955790975
Kenya,0.6820851015343833,80.93626310643745,0.7252982524296298,80.98579148833625
Kiribati,0.7535859781952999,83.61181243889448,0.7970333807168203,83.66922000768439
Kuwait,-0.4776236515523828,37.540180078242514,-0.2561483931087249,44.27237113572407
Kyrgyzstan,1.046334632178351,94.56641191124174,0.9113539033853739,87.9456597130325
Latvia,-0.8283828875175804,24.414835558476614,-0.787820256112636,24.383880319789846
Lebanon,1.1915408173335151,100.0,1.2335982414283788,100.0
Lesotho,0.6820851015343833,80.93626310643745,0.7252982524296298,80.98579148833625
Liberia,1.1915408173335151,100.0,1.2335982414283788,100.0
Libya,1.1915408173335151,100.0,1.2335982414283788,100.0
Liechtenstein,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Lithuania,-0.8283828875175804,24.414835558476614,-0.787820256112636,24.383880319789846
Luxembourg,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Macao,-0.5445838127072452,35.03454346446047,-0.6794280857798475,28.438555457200653
Madagascar,0.6820851015343833,80.93626310643745,0.7256198846920657,80.99782293243302
Malawi,1.1915408173335151,100.0,1.2335982414283788,100.0
Malaysia,-0.5445838127072452,35.03454346446047,-0.6794280857798475,28.438555457200653
Maldives,0.6820851015343833,80.93626310643745,0.7252982524296298,80.98579148833625
Mali,1.1915408173335151,100.0,1.2335982414283788,100.0
Malta,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Marshall Islands,1.1915408173335151,100.0,1.2335982414283788,100.0
Martinique,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Mauritania,0.7535859781952997,83.61181243889445,0.7990537121210859,83.74479546197279
Mauritius,0.28921631264359005,66.2351870504773,0.4185682511190807,69.5118030407071
Mayotte,-1.3381925562879113,5.337853811423607,-1.3839802741130014,2.0830518053039677
Mexico,-0.399377627552081,40.46813155321873,-0.3571837477368428,40.49289574416813
Moldova,1.1915408173335151,100.0,1.2335982414283788,100.0
Monaco,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Mongolia,0.7535859781952999,83.61181243889448,0.7970710038255954,83.6706273923993
Montenegro,1.046334632178351,94.56641191124174,0.9113539033853739,87.9456597130325
Montserrat,-0.8373324666902967,24.079943992113186,-0.7937109853396261,24.163523136567445
Morocco,-0.3300811827244956,43.06119146183153,-0.46404752548535044,36.495393882213115
Mozambique,1.1915408173335151,100.0,1.2335982414283788,100.0
Namibia,0.5383754422701527,75.55867473454252,0.4060326916344661,69.0428796745659
Nauru,1.1915408173335151,100.0,1.2335982414283788,100.0
Nepal,1.1915408173335151,100.0,1.2335982414283788,100.0
Netherlands,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
New Caledonia,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
New Zealand,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Nicaragua,1.022383022300979,93.67014718259257,0.85814297658618,85.95517441073744
Niger,1.1915408173335151,100.0,1.2335982414283788,100.0
Nigeria,0.7535859781952999,83.61181243889448,0.7970710038255954,83.6706273923993
Niue,-0.18487499756933143,48.4947795505898,-0.14186549354894634,48.54740345635728
Norfolk Island,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
North Macedonia,0.24413026239616778,64.54807554533191,0.2887710148268468,64.65641888073557
Northern Mariana Islands,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Norway,-1.480840356638546,0.0,-1.4387511226470369,0.03421380230045781
Oman,-0.622829836707547,32.10659198948425,-0.576410022856239,32.29219891833008
Pakistan,1.1915408173335151,100.0,1.2335982414283788,100.0
Palau,0.6820851015343833,80.93626310643745,0.7252982524296298,80.98579148833625
Panama,-0.399377627552081,40.46813155321873,-0.3571837477368428,40.49289574416813
Papua New Guinea,1.1915408173335151,100.0,1.2335982414283788,100.0
Paraguay,-0.33008118272449566,43.06119146183153,-0.4641098315919509,36.49306316938979
Peru,-0.22117330027250048,47.136503902763046,-0.266326896851127,43.891619224090135
Philippines,-0.622829836707547,32.10659198948425,-0.576410022856239,32.29219891833008
