date,country,governance_risk_pillar_score
2006-01-01,plw,-0.5838220743826782
2006-01-01,png,0.7565241730545667
2006-01-01,pol,-0.5565640268237757
2006-01-01,pri,-0.812769056057539
2006-01-01,prk,1.6517839480563217
2006-01-01,prt,-1.1519770651618917
2006-01-01,pry,0.8433936604255436
2006-01-01,qat,-0.5124945381377001
2006-01-01,rom,-0.13954109924398436
2006-01-01,rus,0.785113243308643
2006-01-01,rwa,0.6388834901955752
2006-01-01,sau,0.4180310278024343
2006-01-01,sdn,1.528827319508483
2006-01-01,sen,0.23698186472144336
2006-01-01,sgp,-1.6547068655730541
2006-01-01,slb,0.4876321883964153
2006-01-01,sle,0.8658126380496505
2006-01-01,slv,0.21614871334572708
2006-01-01,som,2.334422431553811
2006-01-01,srb,0.3046077616765796
2006-01-01,stp,0.28846453705644604
